Sasso Bianco;it;722045.731;88310.806;1175.074;w
Sasso Bianco;it;721731.653;129187.195;1179.279;w
Cima di Gana Bianca;it;719306.676;147836.43;2843.03;w
Monte Bianco;it;717778.08;126621.626;1239.143;w
Bianca;it;711324.6;159171.2;2366.596;w
Sasso Bianco;it;710201.641;149916.125;2298.136;w
Bocchetta di Sasso Bianco;it;709301.505;149262.865;2414.3;w
Cima della Bianca;it;709184.308;158964.504;2893.354;w
Bianco;it;707511.3;123664.9;903.46;w
Cima Bianca;it;705667.113;138310.017;2612.068;w
Sassello Bianco;it;701726.7;145945.1;1699.626;w
Sasso Bianco;it;699631.733;111829.837;638.839;w
Sassel Bianco;it;699379.47;126582.196;1522.071;w
Corona Bianca;it;697276.782;128521.811;1735.325;w
Sasso Bianco;it;695485.8;145001.6;1929.691;w
Sassello Bianco;it;694390.055;124950.367;1019.734;w
Al Bianco;it;690145.1;118976.2;1265.679;w
Valle di Bianco;it;689300.099;121254.207;1457.476;w
Sasso Bianco;it;688342.567;115914.883;1425.579;w
Prèda Bianca;it;687041.4;119115.2;1629.04;w
Sasso Bianco;it;685285.9;127111.6;1297.666;w
Bianchi;it;683614.3;139285.6;1318.337;w
Lago Bianco;it;683058.573;145297.948;2077.739;w
Sasso Bianco;it;681171.946;125647.129;1386.221;w
Pasterblaunas;de;823710.7;206792.3;2367.099;b
Blau Rüfi;de;772752.4;184419.7;1620.001;b
Blau Rüfi;de;766907.1;210942.9;1555.92;b
Bläui;de;762337.6;209780.8;1604.227;b
Blauer Himmel;de;745572.045;253409.735;770.721;b
Blauhölzli;de;744182.585;262010.233;555.702;b
Blauschnee;de;744165.366;235167.684;2330.569;b
Blaurüüti;de;743585.53;267335.448;415.869;b
Blauw Gufer;de;736245.3;157486.1;2438.173;b
Undere Bläuel;de;733654.81;261600.964;508.56;b
Blaus Huus;de;731126.869;278346.584;415.289;b
Bläuel;de;729366.781;260144.424;545.842;b
Blauort;de;722629.758;280945.771;440.514;b
Blautöbeli;de;722589.558;237751.102;889.518;b
Blausee;de;722532.634;173050.764;2374.527;b
Blau;de;722527.108;269576.919;460.865;b
Blauband;de;720631.867;188447.051;2018.834;b
Blaue Brünnen;de;714539.555;208912.974;857.783;b
Blaurock;de;706616.407;280256.256;445.496;b
Blauw Höreli;de;699245;189679.6;2403.32;b
Blauengüllen;de;698985.696;245443.279;522.624;b
Blau Gand;de;697959.157;176416.345;1573.615;b
Blau Band;de;693292.415;187874.796;1631.06;b
Bläutschi;de;690391.071;262668.058;480.315;b
Blautal;de;689867.301;166657.511;1945.074;b
Blauen;de;688902.54;263239.669;608.822;b
Blauberg;de;687310.36;159454.15;2729.152;b
Blauächer;de;685395.032;251209.786;433.432;b
Blauseeli;de;682169.084;163166.54;2135.345;b
Blauberg;de;681141.725;164282.141;3065.689;b
Blauberg;de;680054.32;163003.545;2338.53;b
Blaubergstock;de;679973.265;163575.319;2865.273;b
Blaugand;de;679450.59;176142.804;2435.659;b
Blauwis;de;677375.92;260602;422.947;b
Blaubuck;de;677060.715;285782.266;551.401;b
Blauweid;de;676033.691;209760.404;486.914;b
Blaubergsee;de;675947.089;157284.249;2649.576;b
Blaubergbach;de;675923.481;158006.168;2397.639;b
Blaubergpass;de;675489.75;156542.834;2864.225;b
Blauberg;de;675225.383;157682.449;2768.136;b
Blausee;de;662214.989;180322.482;1916.519;b
Blaue;de;657816.436;234617.33;571.881;b
Blaue Tosse;de;654529.622;201285.449;1802.156;b
Blausee;de;652566.666;129650.759;2462.151;b
Blau Gletscherli;de;648801.158;170925.504;2644.816;b
Blaue;de;646637.12;266959.001;347.67;b
Blausee;de;646599.345;137865.471;2205.289;b
